staff_id,staff_name,role,shift_start,shift_end,assigned_patients
0,Jesse Bright,Physician,08:53:50,12:44:36,"['Eric Jordan', 'Kyle Cherry', 'Laura Taylor']"
1,Alexander Moses,Nurse,07:24:26,02:58:01,"['Nicolas Nichols', 'Nancy Morgan', 'Jamie Villarreal', 'Timothy Snyder', 'John Waller']"
2,Peter Smith,Admin,15:53:11,00:38:16,
3,William Banks,Nurse,02:47:10,13:54:18,"['Andrew Oliver', 'Edward Blair', 'Kyle Cherry']"
4,Valerie Reyes,Physician,14:30:48,14:09:21,"['Monica Phillips', 'Mary Robinson', 'Samantha Walker', 'Cynthia Adams DDS', 'Jamie Villarreal', 'Russell Jones', 'Brent Bryant', 'Kurt Welch', 'John Waller']"
5,Dr. Karen Hull,Admin,17:47:56,10:50:24,
6,Jennifer Dunlap,Nurse,14:44:46,08:26:30,"['Jeffrey Chung', 'Sandy Weaver', 'Tammy Watson', 'Andrew Compton']"
7,Katie Wright,Physician,19:23:32,12:21:30,"['Brian Carrillo', 'Nicole Marshall', 'Edward Blair', 'Brent Murphy']"
8,Victor Parker,Physician,20:09:59,15:14:42,"['Nicolas Nichols', 'Tammy Watson', 'Andrew Oliver', 'Johnathan Young', 'Andrew Compton', 'Michael Jacobson']"
9,Teresa Alvarez,Admin,01:24:49,10:53:52,
10,Sharon Armstrong,Nurse,19:38:39,18:56:54,"['Mary Robinson', 'Samantha Walker']"
11,Vanessa Smith,Nurse,04:57:09,09:19:57,"['Brian Carrillo', 'Russell Jones']"
12,Jennifer Baker,Nurse,09:52:49,15:29:20,['Johnathan Young']
13,Jeff Miller,Admin,07:07:52,09:36:46,
14,Jeremy Fitzgerald,Nurse,20:19:26,19:46:06,"['Brent Bryant', 'Brent Murphy']"
15,Krystal Thomas,Nurse,11:49:03,07:53:59,"['Monica Phillips', 'Jacqueline Moore', 'Nicole Marshall', 'Corey Wright', 'Michael Jacobson']"
16,Meghan Garrett,Nurse,10:28:11,08:32:22,"['Rhonda Davis', 'Kurt Welch', 'Ryan Simon']"
17,Carlos Benton,Physician,11:45:07,20:21:25,"['Jeffrey Chung', 'Jacqueline Moore', 'Sandy Weaver', 'Nancy Morgan', 'Rhonda Davis', 'Timothy Snyder', 'Ryan Simon', 'Corey Wright']"
18,Jared Melton DVM,Nurse,20:21:20,08:08:36,"['Eric Jordan', 'Cynthia Adams DDS', 'Laura Taylor']"
19,Tiffany Diaz,Admin,07:58:54,11:14:12,
